Time|C2|C#/Db2|D2|D#/Eb2|E2|F2|F#/Gb2|G2|G#/Ab2|A2|A#/Bb2|B2|C3|C#/Db3|D3|D#/Eb3|E3|F3|F#/Gb3|G3|G#/Ab3|A3|A#/Bb3|B3|C4|C#/Db4|D4|D#/Eb4|E4|F4|F#/Gb4|G4
111.375|""|""|""|""|""|""|""|""|""|""|""|""|1.875|""|""|""|""|""|""|""|""|""|""|""|1.875|""|""|""|1.875|""|""|4.125
113.625|""|""|""|""|""|""|""|""|""|""|""|""|""|""|1.125|""|""|""|""|""|""|2.25|""|""|""|""|1.125|""|""|""|1.125|""
114.75|""|""|""|""|""|""|""|""|""|""|""|""|""|""|0.375|""|""|""|""|""|""|""|""|""|0.375|""|0.375|""|""|""|""|""
115.125|""|""|""|""|""|""|""|""|""|""|""|""|""|""|0.375|""|""|""|""|""|""|""|""|0.375|""|""|0.375|""|""|""|""|1.875
115.5|""|""|""|""|""|""|""|""|""|""|""|""|""|""|0.375|""|""|""|""|""|""|4.125|""|""|""|""|0.375|""|""|""|0.375|""
115.875|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|2.25|""|""|""|1.125|""|""|1.125|""|""|""|""|2.25
117|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|5.25|""|""|""|""|""|""|1.125|""|""|""|""|3.375
118.125|""|""|""|""|""|""|""|""|""|""|""|""|""|""|1.125|""|""|""|""|""|""|""|""|""|""|""|1.125|""|""|""|1.125|""
119.25|""|""|""|""|""|""|""|""|""|""|""|""|""|""|0.375|""|""|""|""|""|""|0.75|""|""|""|""|""|""|""|""|0.375|""
119.625|""|""|""|""|""|""|""|""|""|""|""|""|""|""|0.375|""|""|""|""|""|""|5.25|""|""|""|""|""|""|""|""|0.375|""
120|""|""|""|""|""|""|""|""|""|""|""|""|""|""|0.375|""|""|""|""|""|""|""|""|""|0.375|""|""|""|""|""|0.375|""
120.375|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|3.375|""|""|""|1.125|""|""|""|""|""|""|""|1.875
121.5|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|0.75|""|""|""|""|""|""|""|""
122.625|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|1.5|""|""|""|1.125|""|""|1.125|""|""|1.125|""|""
123.75|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|0.75|""|""|""|0.375|""|""|0.375|""|""|0.375|""|""
124.125|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|0.75|""|""|""|0.375|""|""|""|""|""|0.375|""|""
124.5|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|8.25|""|""|""|0.375|""|""|0.375|""|""|0.375|""|""
124.875|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|1.125|""|""|""|""|1.125|""|""|1.125|""|""
126|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|53.25|""|""|1.125|""|""|""|1.125|""|""|""
127.125|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|1.125|""|""|""|""|""|""|1.125|""|""|""|""|1.125|""|""
128.25|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|0.375|""|""|""|""|""|""|0.375|""|""|""|""|0.375|""|""
128.625|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|0.375|""|""|""|""|""|""|0.375|""|""|""|""|""|""|""
129|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|0.375|""|""|""|""|""|""|0.375|""|""|""|""|0.375|""|""
129.375|""|""|""|""|""|""|""|""|""|""|""|""|2.25|""|""|""|""|""|""|""|""|""|""|""|1.125|""|""|""|""|1.125|""|""
130.5|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|1.125|""|""|""|""|""|""|""
